Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-13T17:00Z,New York Jets @ Tennessee Titans,Tennessee Titans,Gunnar Helm,TE,Receptions,2.5,5,4.0; 1.0; 3.0; 2.0; 1.0,,,,,
2026-09-13T17:00Z,New York Jets @ Tennessee Titans,Tennessee Titans,Tony Pollard,RB,Rushing Yards,64.0,5,67.0; 64.0; 45.0; 92.0; 60.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,New Orleans Saints,Chris Olave,WR,Receptions,5.7,5,7.0; 3.0; 10.0; 6.0; 7.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,New Orleans Saints,Tyler Shough,QB,Passing Yards,170.2,5,243.0; 282.0; 176.0; 128.0; 0.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,New Orleans Saints,Juwan Johnson,TE,Receptions,4.8,5,2.0; 3.0; 6.0; 5.0; 8.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,New Orleans Saints,Travis Etienne Jr.,RB,Rushing Yards,82.6,5,49.0; 124.0; 56.0; 71.0; 143.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,Detroit Lions,Amon-Ra St. Brown,WR,Receptions,5.7,5,8.0; 7.0; 7.0; 9.0; 4.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,Detroit Lions,Jared Goff,QB,Passing Yards,239.8,5,258.0; 168.0; 202.0; 334.0; 225.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,Detroit Lions,Sam LaPorta,TE,Receptions,4.0,5,5.0; 3.0; 4.0; 3.0; 6.0,,,,,
2026-09-13T17:00Z,New Orleans Saints @ Detroit Lions,Detroit Lions,Jahmyr Gibbs,RB,Rushing Yards,60.3,5,54.0; 91.0; 67.0; 94.0; 19.0,,,,,
